Title,Topic,Subtopic,Year of the map,Description,link
EU-28 import of agricultural products 2017,Agri-food Markets,Trade and Quotas,2017,EU-28 import of agricultural products 2017: EU top origins 2017,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20M%20of%20agricultural%20products%202017.png
EU-28 imports of agricultural products 2016,Agri-food Markets,Trade and Quotas,2017,EU-28 Imports of agricultural products 2016: EU-28 top origins 2016,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20imports%20of%20agricultural%20products%202016.jpg
Major players in agri-food trade 2013-2015 (in EUR),Agri-food Markets,Trade and Quotas,2017,Major players in agri-food trade: Average 2013-2015 (in billion EUR),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/average%20EU%20world%20trade%202013-2015.jpg
Major players in agri-food trade 2014-2016 (in EUR),Agri-food Markets,Trade and Quotas,2017,Maojor players in agri-food trade: Average 2014-2016 (in billion EUR),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/average%20EU%20world%20trade%202014-2016.jpg
"Wine CN 2204 trade - export from EU-28, 2016",Agri-food Markets,Trade and Quotas,2017,"Wine CN 2204 trade - export from EU-28, 2016
(created on 04/2017)",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/winetrade2016_world_X.jpg
"Wine CN 2204 trade - import into EU-28, 2016",Agri-food Markets,Trade and Quotas,2017,"Wine CN 2204 trade - import into EU-28, 2016
(created on 04/2017)",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/winetrade2016_world_M.jpg
EU28 M of agricultural products 2017,Agri-food Markets,Trade and Quotas,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20M%20of%20agricultural%20products%202017%20(1).png
EU28 X of agricultural products 2017,Agri-food Markets,Trade and Quotas,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20X%20of%20agricultural%20products%202017%20(1).png
Lifting of trade restrictions to EU exports of bovine and bovine derivates due to BSE period 2009_2018,Agri-food Markets,Trade and Quotas,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Lifting%20of%20trade%20restrictions%20to%20EU%20exports%20of%20bovine%20and%20bovine%20derivates%20due%20to%20BSE%20period%202009_2018.png
Lifting of trade restrictions to EU exports of bovine and bovine derivates due to BSE period 2009_2018 - Green,Agri-food Markets,Trade and Quotas,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Lifting%20of%20trade%20restrictions%20to%20EU%20exports%20of%20bovine%20and%20bovine%20derivates%20due%20to%20BSE%20period%202009_2018_v2_GreenColour.png
Agri-food trade Average 2016-2018,Agri-food Markets,Trade and Quotas,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Agri-food%20trade%20Average%202016-2018.jpg
EU28 exports of agricultural products 2018,Agri-food Markets,Trade and Quotas,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20exports%20of%20agricultural%20products%202018.jpg
EU28 imports of agricultural products 2018,Agri-food Markets,Trade and Quotas,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU28%20imports%20of%20agricultural%20products%202018.jpg
Winetrade 2018 world Export,Agri-food Markets,Trade and Quotas,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Winetrade%202018%20world%20Export.jpg
Winetrade 2018 world Import,Agri-food Markets,Trade and Quotas,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Winetrade%202018%20world%20Import.jpg
EU27 exports of agricultural products 2019,Agri-food Markets,Trade and Quotas,2020,EU27 exports of agricultural products 2019,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20exports%20of%20agricultural%20products%202019.jpg
EU27 imports of agricultural products 2019,Agri-food Markets,Trade and Quotas,2020,EU27 imports of agricultural products 2019,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20imports%20of%20agricultural%20products%202019.jpg
EU27 top agri-food trade partners 2019,Agri-food Markets,Trade and Quotas,2020,EU27 top agri-food trade partners 2019,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20top%20agri-food%20trade%20partners%202019.jpg
EU27 Agri-Food Exports - Top Partners 2020,Agri-food Markets,Trade and Quotas,2021,EU27 Agri-Food Exports - Top Partners 2020,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20Agri-Food%20Exports%20-%20Top%20Partners%202020.jpg
EU27 Agri-Food Imports - Top Partners 2020,Agri-food Markets,Trade and Quotas,2021,EU27 Agri-Food Imports - Top Partners 2020,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20Agri-Food%20Imports%20-%20Top%20Partners%202020.jpg
EU27 Agri-Food Trade - Top Partners 2020,Agri-food Markets,Trade and Quotas,2021,EU27 Agri-Food Trade - Top Partners 2020,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU27%20Agri-Food%20Trade%20-%20Top%20Partners%202020.jpg
Global Agri-Food Trade - Top Countries - 2020,Agri-food Markets,Trade and Quotas,2021,Global Agri-Food Trade - Top Countries - 2020,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Global%20Agri-Food%20Trade%20-%20Top%20Countries%20-%202020.jpg
Fruit and vegetables that children will receive under the EU school scheme,Agri-food Markets,School Schemes,2017,"Fruit and vegetables that children will receive under the EU school scheme, 2017/2023",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Fruit%20and%20vegetables%20that%20children%20will%20receive%20under%20the%20EU%20school%20scheme.jpg
"Implementation of the EU school fruit vegetables and milk scheme, 2017/2023",Agri-food Markets,School Schemes,2017,"Implementation of the EU school fruit vegetables and milk scheme, 2017/2023",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Implementation%20of%20the%20EU%20school%20fruit%20vegetables%20and%20milk%20scheme.jpg
"Maximum level of added sugar in dairy products that children will receive under the EU school scheme, 2017/2023",Agri-food Markets,School Schemes,2017,"Maximum level of added sugar in dairy products that children will receive under the EU school scheme, 2017/2023",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Maximum%20level%20of%20added%20sugar%20in%20dairy%20products%20that%20children%20will%20receive%20under%20the%20EU%20school%20scheme.jpg
"Milk and dairy products that children will receive under the EU school scheme, 2017/2023",Agri-food Markets,School Schemes,2017,"Milk and dairy products (with and without added sugar) that children will receive under the EU school scheme, 2017/2023",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Milk%20and%20dairy%20products%20that%20children%20will%20receive%20under%20the%20EU%20school%20scheme_DNS%20and%20DWS.jpg
"Milk and dairy products that children will receive under the EU school scheme, 2017/2023",Agri-food Markets,School Schemes,2017,"Milk and dairy products that children will receive under the EU school scheme, 2017/2023: Milk",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Milk%20and%20dairy%20products%20that%20children%20will%20receive%20under%20the%20EU%20school%20scheme_Milk.jpg
"Other agricultural products that children will taste under the school scheme educational measures, 2017/2023",Agri-food Markets,School Schemes,2017,"Other agricultural products that children will taste under the school scheme educational measures, 2017/2023: honey, olives and olive oil",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Other%20agricultural%20products%20that%20children%20will%20taste%20under%20the%20school%20scheme%20educational%20measures.jpg
MS in school scheme that envisage distributing pulses layout 2,Agri-food Markets,School Schemes,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/MS%20in%20school%20scheme%20that%20envisage%20distributing%20pulses%20layout%202.png
MS in the EU scheme that envisage distributing pulses layout 1,Agri-food Markets,School Schemes,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/MS%20in%20the%20EU%20scheme%20that%20envisage%20distributing%20pulses%20layout%201.png
"Priorities for the choice of fruit, vegetables, milk and milk products",Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme","https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Priorities%20for%20the%20choice%20of%20fruit,%20vegetables,%20milk%20and%20milk%20products.png"
"Priorities under the EU school scheme: Agricultural quality schemes, fair trade and others",Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme: Agricultural quality schemes, fair trade and others","https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/AQS,%20FT%20and%20others.png"
Priorities under the EU school scheme: Environmental benefits,Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme: Environmental benefits",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Environmental%20benefits.png
Priorities under the EU school scheme: Local/Regional purchasing,Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme: Local/Regional purchasing",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Regional%20purchase.png
Priorities under the EU school scheme: Organic products,Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme: Organic products",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Organic.png
Priorities under the EU school scheme: Short supply chains,Agri-food Markets,School Schemes,2018,"Priorities for the choice of fruit, vegetables, milk and milk products under the EU school scheme: Short supply chains",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Short%20supply%20chains.png
Map 02 - Fruit and vegetables that children receive under the EU school scheme,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2002%20-%20Fruit%20and%20vegetables%20that%20children%20receive%20under%20the%20EU%20school%20scheme.jpg
Map 03 - Milk products that children receive under the EU school scheme,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2003%20-%20Milk%20products%20that%20children%20receive%20under%20the%20EU%20school%20scheme.jpg
Map 04 - Milk products that children receive under the EU school scheme,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2004%20-%20Milk%20products%20that%20children%20receive%20under%20the%20EU%20school%20scheme.png
Map 05 - Maximum level of added sugar in milk products that children receive under the EU school scheme,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2005%20-%20Maximum%20level%20of%20added%20sugar%20in%20milk%20products%20that%20children%20receive%20under%20the%20EU%20school%20scheme.jpg
"Map 06 - Agricultural products other than fruit, vegetables and milk that children taste under the EU school scheme",Agri-food Markets,School Schemes,2019,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2006%20-%20Agricultural%20products%20other%20than%20fruit,%20vegetables%20and%20milk%20that%20children%20taste%20under%20the%20EU%20school%20scheme.jpg"
Map 07 - All priority maps,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2007%20-%20All%20priority%20maps.jpg
"Map 08 - EU school fruit, vegetables and milk scheme - cost for children",Agri-food Markets,School Schemes,2019,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2008%20-%20EU%20school%20fruit,%20vegetables%20and%20milk%20scheme%20-%20cost%20for%20children.jpg"
"Map 09 - Implementation of the EU school fruit, vegetables and milk scheme - selection of suppliers",Agri-food Markets,School Schemes,2019,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2009%20-%20Implementation%20of%20the%20EU%20school%20fruit,%20vegetables%20and%20milk%20scheme%20-%20selection%20of%20suppliers.jpg"
"Map 10 - Implementation of the EU school fruit, vegetables and milk scheme - payments to aid applicants",Agri-food Markets,School Schemes,2019,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%2010%20-%20Implementation%20of%20the%20EU%20school%20fruit,%20vegetables%20and%20milk%20scheme%20-%20payments%20to%20aid%20applicants.jpg"
Map 7.1 - Local and regional purchasing,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%207.1%20-%20Local%20and%20regional%20purchasing.jpg
Map 7.2 - Organic,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%207.2%20-%20Organic.jpg
Map 7.3 - Short supply chains,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%207.3%20-%20Short%20supply%20chains.jpg
Map 7.4 - Environmental benefits,Agri-food Markets,School Schemes,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%207.4%20-%20Environmental%20benefits.jpg
"Map 7.5 - Agricultural quality schemes, fair trade and others",Agri-food Markets,School Schemes,2019,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%207.5%20-%20Agricultural%20quality%20schemes,%20fair%20trade%20and%20others.jpg"
Agrumes production,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Agrumes_production_bar_4_graph.jpg
Citron export,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/citrons_exp.gif
Citron Import,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/citron_imp.gif
Orange Export,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/orange_exp.gif
Orange Import,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/oranges_imp.gif
Pagrumes Export,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pagrumes_exp.gif
Pagrumes Import,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pagrumes_imp.gif
Pamplemousse Import,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/pamplemousse_imp.gif
Satsumas Import,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/satsumas_imp.gif
VMP of fruit and vegetables and rate of organisations 2009,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202009%20(1).jpg
VMP of fruit and vegetables and rate of organisations 2009 V2,Agri-food Markets,Production,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202009%20V2_graph%20(1).jpg
"""Peras de Rincón de Soto"" Re-examination",Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/map1%20Peras%20de%20Rincon%20de%20Soto.gif
"""Peras de Rincón de Soto"" Re-examination",Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/map2%20Peras%20de%20Rincon%20de%20Soto.gif
Crop diversity in Europe - country,Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Crop%20diversification%20-%20HHI%20-%20country.jpg
Crop diversity in Europe - NUTS 1,Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Crop%20diversification%20-%20HHI%20-%20NUTS1.jpg
Crop diversity in Europe - NUTS 2,Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Crop%20diversification%20-%20HHI%20-%20NUTS2.jpg
Crop diversity in Europe - NUTS 2,Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Crop%20diversification%20-%20HHI%20-%20NUTS2_.jpg
Crop diversity in Europe - NUTS 3,Agri-food Markets,Production,2012,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Crop%20diversification%20-%20HHI%20-%20NUTS3.jpg
Greece - Income of olive oil farms,Agri-food Markets,Production,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_oil_GR.jpg
Italy - Income of olive oil farms,Agri-food Markets,Production,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_oil_IT.jpg
Spain - Income of olive oil farms,Agri-food Markets,Production,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/olive_oil_ES.jpg
Average FNVA/AWU,Agri-food Markets,Production,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Dairy%20report%20-%20Average%20FNVA_AWU.gif
Average gross margin over operating costs,Agri-food Markets,Production,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Dairy%20report%20-%20Average%20gross%20margin%20over%20operating%20costs.gif
Pig density by region - eastern EU Countries,Agri-food Markets,Production,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Pig%20density%20by%20region.jpg
Pig density in the EU,Agri-food Markets,Production,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU-pig%20density-100ha.jpg
Pig number by region - eastern EU Countries,Agri-food Markets,Production,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Pig%20number%20by%20region.jpg
CLC Olive Groves,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/CLC_OliveGroves_2.jpg
EU-28 expected change in milk deliveries 2015,Agri-food Markets,Production,2015,EU-28 expected change in milk deliveries (%),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU%20milk%20deliveries.jpg
Livestock: dairy,Agri-food Markets,Production,2015,livestock: Dairy; LSU and livestock density (LSU/ha) 2010-2013,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/alt_title_Livestock_dairy_point_legend.jpg
Livestock: dairy and other bovines,Agri-food Markets,Production,2015,"Livestock: dairy and other bovines, LSU and Livestock density (LSU/ha), 2010-2013",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Livestock%20dairy%20and%20other%20bovines.jpg
"Livestock: dairy, other bovines and pigs",Agri-food Markets,Production,2015,"Livestock: dairy, other bovines and pigs; LSU and Livestock density (LSU/ha) 2010-2013",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/alt_title_Livestock_dairy_and_other_bovines_pigs_point_legend.jpg
Livestock: suckler cows,Agri-food Markets,Production,2015,Livestock: suckler cows 2010-2013,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Livestock_suckler_cows_density.jpg
Livestock: total livestock,Agri-food Markets,Production,2015,"Livestock: total livestock (dairy, other bovine, pigs, other livestock), LSU and Livestock density (LSU/ha), 2010-2013",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/alt_title_Livestock_dairy_and_other_bovines_pigs_total_point_legend.jpg
PDO_PGI_2012,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/PDO_PGI_2012.jpg
PDO_PGI_2012_insets,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/PDO_PGI_2012_insets.jpg
PDO_PGI_2012_insets2,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/PDO_PGI_2012_insets2.jpg
PDO_PGI_2013,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/PDO_PGI_2013.jpg
PDO_PGI_2013_inset,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/PDO_PGI_2013_inset.jpg
Pig structure: Average size of the pig farm,Agri-food Markets,Production,2015,"Average size of the pig farm, number of heads/farm in 2010",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Average%20size%20of%20the%20pig%20farm.jpg
Pig structure: Number of farms with  pigs and less than 5 LSU,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Number%20of%20farms%20with%20%20pigs%20and%20less%20than%205%20LSU.jpg
Pig structure: Number of farms with pigs,Agri-food Markets,Production,2015,Number of farms with pigs in 2010,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Number%20of%20farms%20with%20pigs.jpg
Pig structure: Percentage of farms with  pigs and less than 5 LSU on total number of farms with pigs,Agri-food Markets,Production,2015,Percentage of farms with  pigs and less than 5 LSU on total number of farms with pigs in 2010 (%à,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Percentage%20of%20farms%20with%20%20pigs%20and%20less%20than%205%20LSU%20on%20total%20number%20of%20farms%20with%20pigs.jpg
Pig structure: Percentage of farms with pigs and less than 5 LSU on total number of farms,Agri-food Markets,Production,2015,Percentage of farms with  pigs and less than 5 LSU on total number of farms in 2010 (%),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Percentage%20of%20farms%20with%20%20pigs%20and%20less%20than%205%20LSU%20on%20total%20number%20of%20farms.jpg
Pig structure: Pig number in the EU 2010,Agri-food Markets,Production,2015,"Pig number in the EU 2010, number of heads",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EU-total%20number%20of%20pigs.jpg
Rate of organisations of the fruit and vegetables sector in the Member States of the EU,Agri-food Markets,Production,2015,Rate of organisations of the fruit and vegetables sector in the Member States of the EU. In terms of Rate of organisations and share of organised producers,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Rate%20of%20organisations%20of%20the%20fruit%20and%20vegetables%20sector%20-%202012_graph.jpg
Structural diversity EU,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Structural%20diversity%20EU.jpg
Structural diversity EU,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Structural%20diversity%20EU_colour_graph.jpg
Structural diversity NUTS2,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Structural%20diversity%20NUTS2_colors.jpg
"Sugar beet yield, average 2008-2010",Agri-food Markets,Production,2015,"Sugar beet yield, average 2008-2010",https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Sugar%20beet%20yield.jpg
VMP of fruit and vegetables and rate of organisations 2009,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202009.jpg
VMP of fruit and vegetables and rate of organisations 2009 V2_graph,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202009%20V2_graph.jpg
VMP of fruit and vegetables and rate of organisations 2010 V2_bars,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202010%20V2_bars.jpg
VMP of fruit and vegetables and rate of organisations 2010 V2_pie,Agri-food Markets,Production,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/VMP%20of%20fruit%20and%20vegetables%20and%20rate%20of%20organisations%202010%20V2_pie.jpg
